"","...1","date","locality","startTime","endTime","windowCount","window","plantID","plantSpecies","pollinatorSpecies","pollinatorID","inflorescencesVisited","Inflorescences total","notes","observers","year","month","day","treatment","beach","city","latitude","longitude","funcgroup","status","plantStatus","hoursperday","visitsperhr"
"11",11,2014-08-24,"1",1899-12-31 09:07:00,1899-12-31 10:15:00,4,2,NA,"Bidens alba","Bembix sp",NA,1,NA,NA,"Brenda Segarra, Jenniffer Paniagua, Joel Gonz<e1>lez & James Ackerman",2014,8,24,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","wasp","native","native",1.13333333333333,0.882352941176471
"12",12,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,1,NA,"Bidens alba","Agraulis vanillae insularis",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","butterfly","native","native",1.81666666666667,0.55045871559633
"13",13,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,1,NA,"Bidens alba","Agraulis vanillae insularis",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","butterfly","native","native",1.81666666666667,0.55045871559633
"14",14,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,1,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,0.55045871559633
"15",15,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,1,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,0.55045871559633
"16",16,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,1,NA,"Bidens alba","Apis mellifera",NA,2,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,1.10091743119266
"17",17,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,1,NA,"Bidens alba","Apis mellifera",NA,2,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,1.10091743119266
"18",18,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,1,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,0.55045871559633
"19",19,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,1,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,0.55045871559633
"20",20,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,1,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,0.55045871559633
"21",21,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,3,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,0.55045871559633
"22",22,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,3,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,0.55045871559633
"23",23,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,5,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,0.55045871559633
"24",24,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,5,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,0.55045871559633
"25",25,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,5,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,0.55045871559633
"26",26,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,5,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,0.55045871559633
"27",27,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,5,NA,"Bidens alba","Apis mellifera",NA,3,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,1.65137614678899
"28",28,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,8,NA,"Bidens alba","Apis mellifera",NA,2,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,1.10091743119266
"29",29,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,8,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,0.55045871559633
"30",30,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,8,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,0.55045871559633
"31",31,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,7,NA,"Bidens alba","Centris decolorata",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","native","native",1.81666666666667,0.55045871559633
"32",32,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,2,NA,"Bidens alba","Agraulis vanillae insularis",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","butterfly","native","native",1.81666666666667,0.55045871559633
"33",33,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,4,NA,"Bidens alba","Agraulis vanillae insularis",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","butterfly","native","native",1.81666666666667,0.55045871559633
"34",34,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,4,NA,"Bidens alba","Agraulis vanillae insularis",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","butterfly","native","native",1.81666666666667,0.55045871559633
"35",35,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,4,NA,"Bidens alba","Agraulis vanillae insularis",NA,5,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","butterfly","native","native",1.81666666666667,2.75229357798165
"36",36,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,6,NA,"Bidens alba","Agraulis vanillae insularis",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","butterfly","native","native",1.81666666666667,0.55045871559633
"37",37,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,2,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,0.55045871559633
"38",38,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,2,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,0.55045871559633
"39",39,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,2,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,0.55045871559633
"40",40,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,2,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,0.55045871559633
"41",41,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,4,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,0.55045871559633
"42",42,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,6,NA,"Bidens alba","Apis mellifera",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",1.81666666666667,0.55045871559633
"43",43,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,4,NA,"Bidens alba","Campsomeris ephippium",NA,3,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","wasp","unknown","native",1.81666666666667,1.65137614678899
"44",44,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,6,NA,"Bidens alba","Campsomeris ephippium",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","wasp","unknown","native",1.81666666666667,0.55045871559633
"45",45,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,6,NA,"Bidens alba","Campsomeris ephippium",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","wasp","unknown","native",1.81666666666667,0.55045871559633
"46",46,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,6,NA,"Bidens alba","Campsomeris ephippium",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","wasp","unknown","native",1.81666666666667,0.55045871559633
"47",47,2014-08-31,"1",1899-12-31 08:08:00,1899-12-31 09:57:00,8,2,NA,"Bidens alba","Xylocopa mordax",NA,1,NA,NA,"Joel Gonzalez, Brenda Segarra, Jenniffer Paniagua",2014,8,31,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","native","native",1.81666666666667,0.55045871559633
"48",48,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,2,NA,"Bidens alba","Agraulis vanillae insularis",NA,4,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","butterfly","native","native",2.88333333333333,1.38728323699422
"49",49,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,2,NA,"Bidens alba","Agraulis vanillae insularis",NA,5,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","butterfly","native","native",2.88333333333333,1.73410404624277
"50",50,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,2,NA,"Bidens alba","Apis mellifera",NA,7,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",2.88333333333333,2.42774566473988
"51",51,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,2,NA,"Bidens alba","Apis mellifera",NA,6,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",2.88333333333333,2.08092485549133
"52",52,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,2,NA,"Bidens alba","Apis mellifera",NA,10,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",2.88333333333333,3.46820809248555
"53",53,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,2,NA,"Bidens alba","Apis mellifera",NA,5,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",2.88333333333333,1.73410404624277
"54",54,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,8,NA,"Bidens alba","Apis mellifera",NA,4,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",2.88333333333333,1.38728323699422
"55",55,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,8,NA,"Bidens alba","Apis mellifera",NA,2,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",2.88333333333333,0.69364161849711
"56",56,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,8,NA,"Bidens alba","Apis mellifera",NA,2,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",2.88333333333333,0.69364161849711
"57",57,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,10,NA,"Bidens alba","Apis mellifera",NA,5,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",2.88333333333333,1.73410404624277
"58",58,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,10,NA,"Bidens alba","Apis mellifera",NA,4,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",2.88333333333333,1.38728323699422
"59",59,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,10,NA,"Bidens alba","Apis mellifera",NA,2,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",2.88333333333333,0.69364161849711
"60",60,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,10,NA,"Bidens alba","Apis mellifera",NA,3,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",2.88333333333333,1.04046242774566
"61",61,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,10,NA,"Bidens alba","Apis mellifera",NA,5,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",2.88333333333333,1.73410404624277
"62",62,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,12,NA,"Bidens alba","Apis mellifera",NA,7,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",2.88333333333333,2.42774566473988
"63",63,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,12,NA,"Bidens alba","Apis mellifera",NA,10,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",2.88333333333333,3.46820809248555
"64",64,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,12,NA,"Bidens alba","Apis mellifera",NA,2,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",2.88333333333333,0.69364161849711
"65",65,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,12,NA,"Bidens alba","Apis mellifera",NA,4,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",2.88333333333333,1.38728323699422
"66",66,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,12,NA,"Bidens alba","Apis mellifera",NA,5,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",2.88333333333333,1.73410404624277
"67",67,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,8,NA,"Bidens alba","Stictia signata",NA,1,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","wasp","native","native",2.88333333333333,0.346820809248555
"68",68,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,7,NA,"Bidens alba","Campsomeris ephippium",NA,1,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","wasp","unknown","native",2.88333333333333,0.346820809248555
"69",69,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,7,NA,"Bidens alba","Campsomeris ephippium",NA,3,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","wasp","unknown","native",2.88333333333333,1.04046242774566
"70",70,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,7,NA,"Bidens alba","Campsomeris ephippium",NA,1,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","wasp","unknown","native",2.88333333333333,0.346820809248555
"71",71,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,7,NA,"Bidens alba","Campsomeris ephippium",NA,1,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","wasp","unknown","native",2.88333333333333,0.346820809248555
"72",72,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,1,NA,"Bidens alba","Centris decolorata",NA,1,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","native","native",2.88333333333333,0.346820809248555
"73",73,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,9,NA,"Bidens alba","Agraulis vanillae insularis",NA,4,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","butterfly","native","native",2.88333333333333,1.38728323699422
"74",74,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,11,NA,"Bidens alba","Agraulis vanillae insularis",NA,6,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","butterfly","native","native",2.88333333333333,2.08092485549133
"75",75,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,11,NA,"Bidens alba","Agraulis vanillae insularis",NA,1,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","butterfly","native","native",2.88333333333333,0.346820809248555
"76",76,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,11,NA,"Bidens alba","Agraulis vanillae insularis",NA,4,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","butterfly","native","native",2.88333333333333,1.38728323699422
"77",77,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,3,NA,"Bidens alba","Apis mellifera",NA,8,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",2.88333333333333,2.77456647398844
"78",78,2014-09-09,"1",1899-12-31 07:46:00,1899-12-31 10:39:00,12,3,NA,"Bidens alba","Apis mellifera",NA,5,NA,NA,"Joel Gonzalez",2014,9,9,"before","Dos Palmas","Loiza","N18<U+00B0>26.670","W65<U+00B0>55.100","bee","non-native","native",2.88333333333333,1.73410404624277
